dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,Log Loss__train,AUC__train,Accuracy__train,F1__train,time__val,Log Loss__val,AUC__val,Accuracy__val,F1__val,time__test,Log Loss__test,AUC__test,Accuracy__test,F1__test,time__train-eval
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_26_s0,26,XGBoost__seed_0__trial_26,5.213396981000187,0.6034189809460301,0.9743544891259025,0.7825,0.7842024837205507,2.4845726969997486,0.6835422594015396,0.9791481481481482,0.8,0.7991452991452991,2.5939108520001355,0.8451647400251351,0.9494907407407407,0.74,0.730112554112554,2.2253792339997744
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_27_s0,27,XGBoost__seed_0__trial_27,5.090339353000218,0.5794038369754868,0.9761401248546194,0.7875,0.7877654399690289,2.466502842000409,0.6859891025894348,0.9776666666666666,0.78,0.7807614607614607,2.4782386990000305,0.8720155013406615,0.9447716049382715,0.72,0.7077022977022978,2.09822721799992
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_28_s0,28,XGBoost__seed_0__trial_28,5.968584360000023,0.5837709607377134,0.9764481213149987,0.79,0.7934854384205806,2.571593139000015,0.6957522796822628,0.9772962962962962,0.76,0.7613780663780665,2.4878215089997866,0.8649662215400719,0.9455123456790123,0.76,0.7570606060606062,1.9816595639999832
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_29_s0,29,XGBoost__seed_0__trial_29,5.768268034999892,0.5713524516809739,0.9768896883270624,0.79,0.7918665346224842,2.877443066000069,0.7021738832674775,0.9765555555555555,0.76,0.7613780663780665,2.2735372160000225,0.8556109938965105,0.94579012345679,0.74,0.7346503496503496,2.1303962960000717
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_3_s0,3,XGBoost__seed_0__trial_3,5.541518000999986,0.5888119439679342,0.9757872352737765,0.7875,0.7910304716899962,2.369489170999998,0.6918705319497437,0.9772962962962962,0.76,0.7613780663780665,2.4411277689999906,0.8559855488547155,0.9507592592592592,0.76,0.7570606060606062,2.1446651840000186
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_4_s0,4,XGBoost__seed_0__trial_4,5.5317686849999745,0.5811192373457049,0.976287555940842,0.79,0.7918665346224842,2.321428064000088,0.6975110282423691,0.9769259259259259,0.76,0.7613780663780665,2.4586657160000414,0.8791098759204607,0.945716049382716,0.74,0.7346503496503496,2.477568130999998
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_5_s0,5,XGBoost__seed_0__trial_5,5.037041373999955,0.595145141831314,0.9749349162511456,0.7825,0.7825687232670284,2.3485572719999936,0.6759342628716815,0.9786296296296296,0.78,0.7807614607614607,2.291596840000011,0.848730153865829,0.9509567901234568,0.72,0.7077022977022978,2.2865253999999595
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_6_s0,6,XGBoost__seed_0__trial_6,7.322865876000037,0.5914647494385149,0.9760149495053794,0.7875,0.7912865996501126,2.5212569020000046,0.6939511902870756,0.9772962962962962,0.76,0.7613780663780665,2.4329451560000734,0.8613739119442978,0.9443086419753086,0.76,0.7570606060606062,1.9927194690000078
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_7_s0,7,XGBoost__seed_0__trial_7,5.222027678000018,0.6476020362476504,0.9708044964531464,0.78,0.7797113202145465,2.4120457779999924,0.6963558537083158,0.9702222222222223,0.8,0.8003418803418804,2.509033145999979,0.8000710690827123,0.9589259259259261,0.7,0.6920259740259741,2.3470926359999567
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_8_s0,8,XGBoost__seed_0__trial_8,6.108939229000043,0.6350143497128495,0.9722180592883521,0.78,0.7813588272817746,2.2400529670001106,0.6977780872656149,0.9777037037037037,0.78,0.7797619047619048,2.3399344700001166,0.8525193359964431,0.9434012345679011,0.74,0.7346503496503496,2.319605397000032
